X:/My Documents/Wegennetwerk/Prog/roadInput.txt X:/My Documents/Wegennetwerk/Prog/maintenanceInput.txt
1291000 5591.67
ArcFlowsAll_t,v,w
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0.0270741 3.17293 0 
0 5.6 0 

0 0.0487576 7.95124 0 
0 0 4 
0.0330089 3.16699 0 
0 5.6 0 

0 0.0972181 7.90278 0 
0 0 4 
0.0388038 3.1612 0 
0 5.6 0 

0 0.145383 7.85462 0 
0 0 4 
0.0444621 3.15554 0 
0 5.6 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0.110685 7.88932 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0.160277 7.83972 0 0 
0 0 4 
0 0.0189916 3.18101 
0 0 5.6 

0.209217 7.79078 0 0 
0 0 4 
0 0.0377368 3.16226 
0 0 5.6 

0.257519 7.74248 0 0 
0 0 4 
0 0.056241 3.14376 
0 0 5.6 

0.305196 7.6948 0 0 
0 0 4 
0 0.0745095 3.12549 
0 0 5.6 

0.352262 7.64774 0 0 
0 0 4 
0 0.0925475 3.10745 
0 0 5.6 

0.398729 7.60127 0 0 
0 0 4 
0 0.11036 3.08964 
0 0 5.6 

0.444611 7.55539 0 0 
0 0 4 
0 0.127951 3.07205 
0 0 5.6 

0.489918 7.51008 0 0 
0 0 4 
0 0.145326 3.05467 
0 0 5.6 

0.534663 7.46534 0 0 
0 0 4 
0 0.16249 3.03751 
0 0 5.6 

0.578858 7.42114 0 0 
0 0 4 
0 0.179446 3.02055 
0 0 5.6 

0.622513 7.37749 0 0 
0 0 4 
0 0.196199 3.0038 
0 0 5.6 

0.665638 7.33436 0 0 
0 0 4 
0 0.212752 2.98725 
0 0 5.6 

0.708245 7.29175 0 0 
0 0 4 
0 0.229111 2.97089 
0 0 5.6 

0.746464 7.12552 0.0628076 0.0652076 
0.0205683 0.0230937 3.95634 
0.00124685 0.226401 2.97235 
0.0313204 0.0351584 5.53352 

0.784685 7.02672 0.0701717 0.118424 
0.0395721 0.044893 3.91553 
0.00123542 0.22502 2.97374 
0.0607108 0.0684622 5.47083 

0.820587 6.93312 0.0772074 0.169084 
0.0573943 0.0655082 3.8771 
0.00122447 0.223703 2.97507 
0.0884078 0.100069 5.41152 

0.854384 6.84425 0.0839437 0.217419 
0.0741442 0.0850489 3.84081 
0.00121395 0.222445 2.97634 
0.11457 0.130138 5.35529 

0.886266 6.7597 0.0904061 0.26363 
0.089917 0.10361 3.80647 
0.00120383 0.221241 2.97755 
0.139335 0.158807 5.30186 

0.916396 6.67909 0.0966167 0.307895 
0.104796 0.121275 3.77393 
0.00119408 0.220087 2.97872 
0.162824 0.186196 5.25098 

0.94492 6.60211 0.102595 0.35037 
0.118855 0.138118 3.74303 
0.00118466 0.218978 2.97984 
0.185142 0.212411 5.20245 

0.971965 6.52848 0.108359 0.391193 
0.132158 0.154202 3.71364 
0.00117556 0.217911 2.98091 
0.206384 0.237547 5.15607 

0.997646 6.45794 0.113924 0.430486 
0.144763 0.169586 3.68565 
0.00116676 0.216884 2.98195 
0.226632 0.261686 5.11168 

1.02206 6.39027 0.119304 0.46836 
0.156721 0.184321 3.65896 
0.00115822 0.215893 2.98295 
0.245962 0.284903 5.06914 


0 6
0 10
0 15
0 18
0 22
0 26
0 27
0 31
0 32
0 37
0 38
0 43
0 44
0 49
1 4
1 6
1 10
1 12
1 16
1 18
1 21
1 38
1 39
2 0
2 4
2 6
2 9
2 26
2 27
3 0
3 4
3 6
3 10
3 12
3 15
3 32
3 33
4 0
4 4
4 12
4 15
4 25
4 26
4 30
4 34

--------------------------------
1291003 5550.46
ArcFlowsAll_t,v,w
0 1.13573 8.86427 0 
0 0 6.4755 8.96244 
0 2.3022 0 10.5621 
0 0 0.524504 0 

0 0.227146 9.77285 0 
0 0 12.6876 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 9.77984 0 
0.00698762 0 12.6806 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0.25422 9.77285 0 
0 0 6.8951 19.1049 
0.0270741 13.7458 0 0 
0 0 0.104901 0 

0 0.308913 9.7241 0 
0 0 6.8951 19.1049 
0.0330089 13.6911 0 0 
0 0 0.104901 0 

0 0.363168 9.67564 0 
0 0 6.8951 19.1049 
0.0388038 13.6368 0 0 
0 0 0.104901 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 3.17864 19.2818 
0 0.460441 0 5.4231 
0 0 5.7049 0 

0 10 0 0 
0 0 3.22823 19.2512 
0 0.479432 0 5.4537 
0 0 5.7049 0 

0 10 0 0 
0 0 3.27717 19.221 
0 0.498177 0 5.48389 
0 0 5.7049 0 

0 10 0 0 
0 0 3.32547 19.1912 
0 0.516682 0 5.51369 
0 0 5.7049 0 

0 10 0 0 
0 0 3.37315 19.1618 
0 0.53495 0 5.5431 
0 0 5.7049 0 

0 10 0 0 
0 0 3.42021 19.1328 
0 0.552988 0 5.57213 
0 0 5.7049 0 

0 10 0 0 
0 0 3.46668 19.1041 
0 0.5708 0 5.60078 
0 0 5.7049 0 

0 10 0 0 
0 0 3.51256 19.0758 
0 0.588392 0 5.62907 
0 0 5.7049 0 

0 10 0 0 
0 0 3.55787 19.0479 
0 0.605767 0 5.65701 
0 0 5.7049 0 

0 10 0 0 
0 0 3.60262 19.0203 
0 0.62293 0 5.68459 
0 0 5.7049 0 

0 10 0 0 
0 0 3.64681 18.9931 
0 0.639886 0 5.71183 
0 0 5.7049 0 

0 10 0 0 
0 0 3.69047 18.9662 
0 0.656639 0 5.73873 
0 0 5.7049 0 

0 10 0 0 
0 0 3.73359 18.9396 
0 0.673193 0 5.7653 
0 0 5.7049 0 

0 10 0 0 
0 0 3.7762 18.9134 
0 0.689552 0 5.79155 
0 0 5.7049 0 

0 8.10038 1.95276 0 
0.0518887 0 2.09982 18.6983 
0.00124685 0.749649 0 5.9401 
0 0 5.63842 0 

0 8.03979 2.06173 0 
0.100283 0 2.19314 18.502 
0.00123542 0.755632 0 6.07373 
0 0 5.57573 0 

0 7.98208 2.16495 0 
0.145802 0 2.28126 18.3164 
0.00122447 0.761351 0 6.20006 
0 0 5.51642 0 

0 7.927 2.26293 0 
0.188714 0 2.36467 18.1404 
0.00121395 0.76683 0 6.31975 
0 0 5.46019 0 

0 7.87431 2.35614 0 
0.229252 0 2.44378 17.9734 
0.00120383 0.772088 0 6.43339 
0 0 5.40676 0 

0 7.82383 2.44499 0 
0.26762 0 2.51897 17.8144 
0.00119408 0.777144 0 6.5415 
0 0 5.35588 0 

0 7.77537 2.52982 0 
0.303997 0 2.59055 17.6628 
0.00118466 0.782013 0 6.64451 
0 0 5.30735 0 

0 7.72877 2.61095 0 
0.338541 0 2.65881 17.5181 
0.00117556 0.786711 0 6.74284 
0 0 5.26097 0 

0 7.6839 2.68866 0 
0.371395 0 2.72402 17.3797 
0.00116676 0.791249 0 6.83684 
0 0 5.21658 0 

0 7.64064 2.7632 0 
0.402683 0 2.78639 17.2472 
0.00115822 0.795638 0 6.92683 
0 0 5.17404 0 

RecurrentPathTraffic_t,od,path
0 0.908584 1.05595 6.03547 
0 0 4 
0 0.785813 2.41419 
0 5.1804 0.419603 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0.00291151 3.99709 0 
0 0 3.2 
0.00407611 5.59592 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0.0270741 3.17293 0 
0 5.6 0 

0 0.0487576 7.95124 0 
0 0 4 
0.0330089 3.16699 0 
0 5.6 0 

0 0.0972181 7.90278 0 
0 0 4 
0.0388038 3.1612 0 
0 5.6 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0.110685 7.88932 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0.160277 7.83972 0 0 
0 0 4 
0 0.0189916 3.18101 
0 0 5.6 

0.209217 7.79078 0 0 
0 0 4 
0 0.0377368 3.16226 
0 0 5.6 

0.257519 7.74248 0 0 
0 0 4 
0 0.056241 3.14376 
0 0 5.6 

0.305196 7.6948 0 0 
0 0 4 
0 0.0745095 3.12549 
0 0 5.6 

0.352262 7.64774 0 0 
0 0 4 
0 0.0925475 3.10745 
0 0 5.6 

0.398729 7.60127 0 0 
0 0 4 
0 0.11036 3.08964 
0 0 5.6 

0.444611 7.55539 0 0 
0 0 4 
0 0.127951 3.07205 
0 0 5.6 

0.489918 7.51008 0 0 
0 0 4 
0 0.145326 3.05467 
0 0 5.6 

0.534663 7.46534 0 0 
0 0 4 
0 0.16249 3.03751 
0 0 5.6 

0.578858 7.42114 0 0 
0 0 4 
0 0.179446 3.02055 
0 0 5.6 

0.622513 7.37749 0 0 
0 0 4 
0 0.196199 3.0038 
0 0 5.6 

0.665638 7.33436 0 0 
0 0 4 
0 0.212752 2.98725 
0 0 5.6 

0.708245 7.29175 0 0 
0 0 4 
0 0.229111 2.97089 
0 0 5.6 

0.746464 7.12552 0.0628076 0.0652076 
0.0205683 0.0230937 3.95634 
0.00124685 0.226401 2.97235 
0.0313204 0.0351584 5.53352 

0.784685 7.02672 0.0701717 0.118424 
0.0395721 0.044893 3.91553 
0.00123542 0.22502 2.97374 
0.0607108 0.0684622 5.47083 

0.820587 6.93312 0.0772074 0.169084 
0.0573943 0.0655082 3.8771 
0.00122447 0.223703 2.97507 
0.0884078 0.100069 5.41152 

0.854384 6.84425 0.0839437 0.217419 
0.0741442 0.0850489 3.84081 
0.00121395 0.222445 2.97634 
0.11457 0.130138 5.35529 

0.886266 6.7597 0.0904061 0.26363 
0.089917 0.10361 3.80647 
0.00120383 0.221241 2.97755 
0.139335 0.158807 5.30186 

0.916396 6.67909 0.0966167 0.307895 
0.104796 0.121275 3.77393 
0.00119408 0.220087 2.97872 
0.162824 0.186196 5.25098 

0.94492 6.60211 0.102595 0.35037 
0.118855 0.138118 3.74303 
0.00118466 0.218978 2.97984 
0.185142 0.212411 5.20245 

0.971965 6.52848 0.108359 0.391193 
0.132158 0.154202 3.71364 
0.00117556 0.217911 2.98091 
0.206384 0.237547 5.15607 

0.997646 6.45794 0.113924 0.430486 
0.144763 0.169586 3.68565 
0.00116676 0.216884 2.98195 
0.226632 0.261686 5.11168 

1.02206 6.39027 0.119304 0.46836 
0.156721 0.184321 3.65896 
0.00115822 0.215893 2.98295 
0.245962 0.284903 5.06914 


0 6
0 10
0 15
0 18
0 22
0 26
0 27
0 31
0 32
0 37
0 38
0 43
0 44
0 49
1 4
1 6
1 10
1 16
1 18
1 21
1 38
1 39
2 4
2 6
2 9
2 26
2 27
3 0
3 4
3 10
3 12
3 15
3 32
3 33
4 0
4 4
4 12
4 15
4 25
4 26
4 30
4 34

--------------------------------
1291004 5559.33
ArcFlowsAll_t,v,w
0 1.13573 8.86427 0 
0 0 6.4755 8.96244 
0 2.3022 0 10.5621 
0 0 0.524504 0 

0 0.227146 9.77285 0 
0 0 12.6876 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 9.77984 0 
0.00698762 0 12.6806 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 9.78677 0 
0.0139187 0 12.6737 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0.25422 9.77285 0 
0 0 6.8951 19.1049 
0.0270741 13.7458 0 0 
0 0 0.104901 0 

0 0.308913 9.7241 0 
0 0 6.8951 19.1049 
0.0330089 13.6911 0 0 
0 0 0.104901 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 3.17864 19.2818 
0 0.460441 0 5.4231 
0 0 5.7049 0 

0 10 0 0 
0 0 3.22823 19.2512 
0 0.479432 0 5.4537 
0 0 5.7049 0 

0 10 0 0 
0 0 3.27717 19.221 
0 0.498177 0 5.48389 
0 0 5.7049 0 

0 10 0 0 
0 0 3.32547 19.1912 
0 0.516682 0 5.51369 
0 0 5.7049 0 

0 10 0 0 
0 0 3.37315 19.1618 
0 0.53495 0 5.5431 
0 0 5.7049 0 

0 10 0 0 
0 0 3.42021 19.1328 
0 0.552988 0 5.57213 
0 0 5.7049 0 

0 10 0 0 
0 0 3.46668 19.1041 
0 0.5708 0 5.60078 
0 0 5.7049 0 

0 10 0 0 
0 0 3.51256 19.0758 
0 0.588392 0 5.62907 
0 0 5.7049 0 

0 10 0 0 
0 0 3.55787 19.0479 
0 0.605767 0 5.65701 
0 0 5.7049 0 

0 10 0 0 
0 0 3.60262 19.0203 
0 0.62293 0 5.68459 
0 0 5.7049 0 

0 10 0 0 
0 0 3.64681 18.9931 
0 0.639886 0 5.71183 
0 0 5.7049 0 

0 10 0 0 
0 0 3.69047 18.9662 
0 0.656639 0 5.73873 
0 0 5.7049 0 

0 10 0 0 
0 0 3.73359 18.9396 
0 0.673193 0 5.7653 
0 0 5.7049 0 

0 10 0 0 
0 0 3.7762 18.9134 
0 0.689552 0 5.79155 
0 0 5.7049 0 

0 8.10038 1.95276 0 
0.0518887 0 2.09982 18.6983 
0.00124685 0.749649 0 5.9401 
0 0 5.63842 0 

0 8.03979 2.06173 0 
0.100283 0 2.19314 18.502 
0.00123542 0.755632 0 6.07373 
0 0 5.57573 0 

0 7.98208 2.16495 0 
0.145802 0 2.28126 18.3164 
0.00122447 0.761351 0 6.20006 
0 0 5.51642 0 

0 7.927 2.26293 0 
0.188714 0 2.36467 18.1404 
0.00121395 0.76683 0 6.31975 
0 0 5.46019 0 

0 7.87431 2.35614 0 
0.229252 0 2.44378 17.9734 
0.00120383 0.772088 0 6.43339 
0 0 5.40676 0 

0 7.82383 2.44499 0 
0.26762 0 2.51897 17.8144 
0.00119408 0.777144 0 6.5415 
0 0 5.35588 0 

0 7.77537 2.52982 0 
0.303997 0 2.59055 17.6628 
0.00118466 0.782013 0 6.64451 
0 0 5.30735 0 

0 7.72877 2.61095 0 
0.338541 0 2.65881 17.5181 
0.00117556 0.786711 0 6.74284 
0 0 5.26097 0 

0 7.6839 2.68866 0 
0.371395 0 2.72402 17.3797 
0.00116676 0.791249 0 6.83684 
0 0 5.21658 0 

0 7.64064 2.7632 0 
0.402683 0 2.78639 17.2472 
0.00115822 0.795638 0 6.92683 
0 0 5.17404 0 

RecurrentPathTraffic_t,od,path
0 0.908584 1.05595 6.03547 
0 0 4 
0 0.785813 2.41419 
0 5.1804 0.419603 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0.00291151 3.99709 0 
0 0 3.2 
0.00407611 5.59592 0 

0 0 0 8 
0.00579948 3.9942 0 
0 0 3.2 
0.00811927 5.59188 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 0 8 
0 4 0 
0 0 3.2 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 0 8 0 
0 0 4 
0.0270741 3.17293 0 
0 5.6 0 

0 0.0487576 7.95124 0 
0 0 4 
0.0330089 3.16699 0 
0 5.6 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
3.2 0 0 
5.6 0 0 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0 8 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0.110685 7.88932 0 0 
0 0 4 
0 0 3.2 
0 0 5.6 

0.160277 7.83972 0 0 
0 0 4 
0 0.0189916 3.18101 
0 0 5.6 

0.209217 7.79078 0 0 
0 0 4 
0 0.0377368 3.16226 
0 0 5.6 

0.257519 7.74248 0 0 
0 0 4 
0 0.056241 3.14376 
0 0 5.6 

0.305196 7.6948 0 0 
0 0 4 
0 0.0745095 3.12549 
0 0 5.6 

0.352262 7.64774 0 0 
0 0 4 
0 0.0925475 3.10745 
0 0 5.6 

0.398729 7.60127 0 0 
0 0 4 
0 0.11036 3.08964 
0 0 5.6 

0.444611 7.55539 0 0 
0 0 4 
0 0.127951 3.07205 
0 0 5.6 

0.489918 7.51008 0 0 
0 0 4 
0 0.145326 3.05467 
0 0 5.6 

0.534663 7.46534 0 0 
0 0 4 
0 0.16249 3.03751 
0 0 5.6 

0.578858 7.42114 0 0 
0 0 4 
0 0.179446 3.02055 
0 0 5.6 

0.622513 7.37749 0 0 
0 0 4 
0 0.196199 3.0038 
0 0 5.6 

0.665638 7.33436 0 0 
0 0 4 
0 0.212752 2.98725 
0 0 5.6 

0.708245 7.29175 0 0 
0 0 4 
0 0.229111 2.97089 
0 0 5.6 

0.746464 7.12552 0.0628076 0.0652076 
0.0205683 0.0230937 3.95634 
0.00124685 0.226401 2.97235 
0.0313204 0.0351584 5.53352 

0.784685 7.02672 0.0701717 0.118424 
0.0395721 0.044893 3.91553 
0.00123542 0.22502 2.97374 
0.0607108 0.0684622 5.47083 

0.820587 6.93312 0.0772074 0.169084 
0.0573943 0.0655082 3.8771 
0.00122447 0.223703 2.97507 
0.0884078 0.100069 5.41152 

0.854384 6.84425 0.0839437 0.217419 
0.0741442 0.0850489 3.84081 
0.00121395 0.222445 2.97634 
0.11457 0.130138 5.35529 

0.886266 6.7597 0.0904061 0.26363 
0.089917 0.10361 3.80647 
0.00120383 0.221241 2.97755 
0.139335 0.158807 5.30186 

0.916396 6.67909 0.0966167 0.307895 
0.104796 0.121275 3.77393 
0.00119408 0.220087 2.97872 
0.162824 0.186196 5.25098 

0.94492 6.60211 0.102595 0.35037 
0.118855 0.138118 3.74303 
0.00118466 0.218978 2.97984 
0.185142 0.212411 5.20245 

0.971965 6.52848 0.108359 0.391193 
0.132158 0.154202 3.71364 
0.00117556 0.217911 2.98091 
0.206384 0.237547 5.15607 

0.997646 6.45794 0.113924 0.430486 
0.144763 0.169586 3.68565 
0.00116676 0.216884 2.98195 
0.226632 0.261686 5.11168 

1.02206 6.39027 0.119304 0.46836 
0.156721 0.184321 3.65896 
0.00115822 0.215893 2.98295 
0.245962 0.284903 5.06914 


0 6
0 10
0 15
0 18
0 22
0 26
0 27
0 31
0 32
0 37
0 38
0 43
0 44
0 49
1 4
1 10
1 16
1 18
1 21
1 38
1 39
2 4
2 6
2 9
2 26
2 27
3 4
3 10
3 12
3 15
3 32
3 33
4 0
4 4
4 12
4 15
4 25
4 26
4 30
4 34

--------------------------------
1291005 5567.7
ArcFlowsAll_t,v,w
0 1.13573 8.86427 0 
0 0 6.4755 8.96244 
0 2.3022 0 10.5621 
0 0 0.524504 0 

0 0.227146 9.77285 0 
0 0 12.6876 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 9.77984 0 
0.00698762 0 12.6806 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 9.78677 0 
0.0139187 0 12.6737 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 9.79365 0 
0.0207939 0 12.6668 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 12.6876 0 
0 0.687587 0 19.1049 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0 10 0 
0 0 6.8951 19.1049 
0 14 0 0 
0 0 0.104901 0 

0 0.25422 9.77285 0 
0 0 6.8951 19.1049 
0.0270741 13.7458 0 0 
0 0 0.104901 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 11.4271 7.37285 0 
5.6 0 0 20.4 
3.2 2.57285 0 0 
0 0 1.4 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

0 10 0 0 
0 0 0 22.4604 
0 0.460441 0 5.31241 
0 0 8.77285 0 

